,Artist,Style
337,Mike Oldfield,Art Rock
338,Mike Oldfield,Prog-Rock
339,Mike Oldfield,Progressive Electronic
340,Mike Oldfield,Classical Crossover
341,Mike Oldfield,Neo-Classical
342,Mike Oldfield,Avant-Garde Music
343,Mike Oldfield,Experimental Electronic
344,Artie Traum,Folk Jazz
345,Artie Traum,Singer/Songwriter
346,Joe Dolan,AM Pop
347,Jerry Lee Lewis,Honky Tonk
348,Jerry Lee Lewis,Rock & Roll
349,Jerry Lee Lewis,Rockabilly
350,Jerry Lee Lewis,Traditional Country
351,Mack 10,Gangsta Rap
352,Mack 10,West Coast Rap
353,Mack 10,G-Funk
354,DJ Clue?,East Coast Rap
355,Monty Montgomery,?
356,Rob Fetters,?
357,Christopher Young,Original Score
358,Christopher Young,Film Score
359,Christopher Young,Soundtracks
360,Christopher Young,Video Game Music
361,Curd Duca,Contemporary Instrumental
362,Curd Duca,Experimental Techno
363,Curd Duca,IDM
364,Curd Duca,Techno
365,Curd Duca,Ambient Techno
366,Curd Duca,Trip-Hop
367,Ivano Fossati,Contemporary Pop/Rock
368,Ivano Fossati,Italian Pop
369,Michael Prophet,Dance-Pop
370,Michael Prophet,Dancehall
371,Rick Derringer,Blues-Rock
372,Rick Derringer,Contemporary Pop/Rock
373,Rick Derringer,Hard Rock
374,Rick Derringer,Rock & Roll
375,Alfonzo Hunter,Contemporary R&B
376,Gutterball,Alternative Pop/Rock
377,Gutterball,Alternative/Indie Rock
378,Gutterball,Jangle Pop
379,Vowel Movement,?
380,Al Kooper,Rock & Roll
381,Al Kooper,Blues-Rock
382,Al Kooper,Singer/Songwriter
383,Al Kooper,Psychedelic/Garage
384,Al Kooper,Retro-Soul
385,Al Kooper,Soul
386,Al Kooper,American Trad Rock
387,Al Kooper,Folk-Rock
388,Al Kooper,Roots Rock
389,Love Is Colder than Death,Alternative Pop/Rock
390,Love Is Colder than Death,Alternative/Indie Rock
391,The Elvis Brothers,Power Pop
392,S.F.C.,Christian Rap
393,S.F.C.,Contemporary Christian
394,Gospel Gangstaz,Christian Rap
395,Gospel Gangstaz,Contemporary Christian
396,Gospel Gangstaz,Contemporary Gospel
397,Gospel Gangstaz,Gospel
398,WC and the Maad Circle,Hardcore Rap
399,WC and the Maad Circle,West Coast Rap
400,WC and the Maad Circle,Gangsta Rap
401,Scarface,Gangsta Rap
402,Scarface,Hardcore Rap
403,Scarface,Southern Rap
404,Santa Sabina,Alternative Pop/Rock
405,Santa Sabina,Alternative/Indie Rock
406,Santa Sabina,Rock en Español
407,Santa Sabina,Alternative Latin
408,Santa Sabina,Contemporary Pop/Rock
409,Raisins,Alternative Pop/Rock
410,Raisins,Alternative/Indie Rock
411,Raisins,Contemporary Pop/Rock
412,Stephen Bishop,Adult Contemporary
413,Stephen Bishop,Soft Rock
414,Stephen Bishop,Contemporary Pop/Rock
415,Kindred Way,?
416,Big Daddy Kane,East Coast Rap
417,Big Daddy Kane,Golden Age
418,Big Daddy Kane,Hardcore Rap
419,Big Daddy Kane,Old-School Rap
420,Big Daddy Kane,Pop-Rap
421,Sister Carol,Dancehall
422,Sister Carol,Ragga
423,Forward,Dancehall
424,Forward,Ragga
425,Forward,Roots Reggae
426,Smiley Lewis,New Orleans R&B
427,Smiley Lewis,Rock & Roll
428,Smiley Lewis,Early R&B
429,Smiley Lewis,New Orleans Blues
430,Smiley Lewis,Regional Blues
431,Smiley Lewis,Piano Blues
432,Anathema,Doom Metal
433,Anathema,Goth Metal
434,Anathema,Heavy Metal
435,Anathema,Death Metal
436,Zimbabwe Legit,Alternative Rap
437,Force M.D.'s,Contemporary R&B
438,Force M.D.'s,Quiet Storm
439,Force M.D.'s,New Jack Swing
440,Force M.D.'s,Adult Contemporary R&B
441,Mac Band,Contemporary R&B
442,Mac Band,New Jack Swing
443,Chris Cuevas,Club/Dance
444,Funkytown Pros,?
445,HEAL,Hardcore Rap
446,Andrew Dice Clay,Blue Humor
447,Andrew Dice Clay,Sketch Comedy
448,Andrew Dice Clay,Standup Comedy
449,Andrew Dice Clay,Comedy
450,Jerry Harrison,Alternative/Indie Rock
451,Jerry Harrison,New Wave
452,Jerry Harrison,Post-Punk
453,Jerry Harrison,Punk/New Wave
454,Iron Christ,Heavy Metal
455,Iron Christ,Hard Rock
456,Scruffy the Cat,Alternative/Indie Rock
457,Scruffy the Cat,Roots Rock
458,Scruffy the Cat,College Rock
459,Max Q,Alternative Pop/Rock
460,Max Q,Alternative/Indie Rock
461,Jody Watley,Contemporary R&B
462,Jody Watley,Dance-Pop
463,Jody Watley,Club/Dance
464,Jody Watley,House
465,Jody Watley,Post-Disco
466,The Cucumbers,Alternative Pop/Rock
467,The Cucumbers,Alternative/Indie Rock
468,The Cucumbers,Adult Alternative Pop/Rock
469,Captain Lou Albano / NRBQ,?
470,Pia Zadora,Big Band
471,Pia Zadora,Traditional Pop
472,Pia Zadora,Vocal Pop
473,Pia Zadora,AM Pop
474,Scott Merritt,?
475,Whitesnake,Hard Rock
476,Whitesnake,Heavy Metal
477,Whitesnake,Hair Metal
478,Whitesnake,Pop-Metal
479,Whitesnake,Arena Rock
480,Certain General,?
481,Peter Wolf,Album Rock
482,Peter Wolf,Contemporary Pop/Rock
483,Peter Wolf,Rock & Roll
484,Steve Hillage,Prog-Rock
485,Steve Hillage,Space Rock
486,Steve Hillage,Ambient
487,Steve Hillage,Ambient Techno
488,Steve Hillage,Canterbury Scene
489,Steve Hillage,Alternative/Indie Rock
490,Steve Hillage,Techno
491,Ryuichi Sakamoto / Robin Scott,Experimental
492,Ryuichi Sakamoto / Robin Scott,Progressive Electronic
493,Ryuichi Sakamoto / Robin Scott,Original Score
494,Ryuichi Sakamoto / Robin Scott,International Fusion
495,Ryuichi Sakamoto / Robin Scott,Synth Pop
496,Ryuichi Sakamoto / Robin Scott,Experimental Ambient
497,Ryuichi Sakamoto / Robin Scott,Experimental Electro
498,Ryuichi Sakamoto / Robin Scott,Experimental Electronic
499,Ryuichi Sakamoto / Robin Scott,Glitch
500,David Byrne,Alternative Pop/Rock
501,David Byrne,Alternative/Indie Rock
502,David Byrne,Experimental Rock
503,David Byrne,Worldbeat
504,David Byrne,Ambient
505,David Byrne,Avant-Garde Music
506,David Byrne,Experimental
507,David Byrne,Adult Alternative Pop/Rock
508,The Music Emporium,Psychedelic/Garage
509,Bill Wolfer,Fusion
510,Debbie Reynolds,Traditional Pop
511,Debbie Reynolds,Vocal Pop
512,Edensong,?
513,UniKuE,?
514,The Mastelottos,Progressive Alternative
515,Raphaël Haroche / Raphaël,Adult Alternative Pop/Rock
516,Raphaël Haroche / Raphaël,Alternative/Indie Rock
517,Raphaël Haroche / Raphaël,French Pop
518,Raphaël Haroche / Raphaël,French Rock
519,The Crimson Projekct,?
520,Troy Jones,?
521,Nonch Harpin',?
522,Tim Reynolds / TR3,Adult Alternative Pop/Rock
523,Tim Reynolds / TR3,Alternative/Indie Rock
524,Tim Reynolds / TR3,American Trad Rock
525,Tim Reynolds / TR3,Jam Bands
526,Tim Reynolds / TR3,Jazz Instrument
527,Tim Reynolds / TR3,Piano Jazz
528,Delta Saxophone Quartet,Minimalism
529,Delta Saxophone Quartet,Modern Composition
530,Delta Saxophone Quartet,Neo-Classical
531,Delta Saxophone Quartet,Post-Minimalism
532,Delta Saxophone Quartet,Chamber Music
